license_plate,month,visit_count,total,cornsilk,slate_gray,navajo_white,avg_trip
MK-B-7,2020.04,7,127.5,13,11,9,18.214285714285715
NWM-E-99,2020.04,3,86.0,8,6,7,28.666666666666668
AUR-QQ-56,2020.04,5,143.0,19,12,9,28.6
TIR-LN-5,2020.04,4,120.5,6,9,11,30.125
NES-YJ-26,2020.04,3,100.0,8,6,9,33.333333333333336
KU-BN-63,2020.04,6,186.5,4,23,14,31.083333333333332
FDS-QV-72,2020.04,2,98.0,0,4,12,49.0
OHA-P-354,2020.04,4,181.0,10,10,18,45.25
MST-O-695,2020.04,4,119.0,7,4,13,29.75
AE-HA-68,2020.04,4,113.5,6,13,8,28.375
OSL-BW-924,2020.04,4,143.0,12,4,15,35.75
MS-NB-8274,2020.04,4,68.5,15,5,3,17.125
MÜR-EO-555,2020.04,4,183.0,4,8,21,45.75
KA-VA-761,2020.04,5,122.0,5,6,13,24.4
FFB-N-22,2020.04,7,254.5,17,25,19,36.357142857142854
P-P-88,2020.04,5,125.0,10,16,7,25.0
GP-X-91,2020.04,8,180.0,13,18,13,22.5
BD-N-39,2020.04,9,323.5,27,27,25,35.94444444444444
GF-I-951,2020.04,4,65.5,10,5,4,16.375
FFB-F-846,2020.04,3,90.5,12,9,5,30.166666666666668
NW-N-736,2020.04,6,163.5,10,11,15,27.25
AIC-CN-12,2020.04,3,132.0,3,6,15,44.0
HOM-SJ-597,2020.04,7,233.5,10,21,20,33.357142857142854
WT-Y-89,2020.04,5,155.5,13,5,16,31.1
OS-D-832,2020.04,4,82.0,13,8,4,20.5
SOK-YW-9,2020.04,5,151.0,16,22,6,30.2
ABI-OB-294,2020.04,8,200.0,23,12,16,25.0
KR-MZ-52,2020.04,3,99.0,11,10,6,33.0
MÜ-G-464,2020.04,5,93.0,8,10,6,18.6
HER-RR-275,2020.04,1,58.5,3,5,5,58.5
NVP-P-13,2020.04,4,160.0,10,12,14,40.0
LG-W-468,2020.04,5,266.5,16,15,26,53.3
NM-UR-24,2020.04,5,133.0,7,14,10,26.6
NOH-ZD-37,2020.04,9,264.5,22,17,23,29.38888888888889
AW-DA-46,2020.04,4,185.5,14,21,12,46.375
WST-ZT-33,2020.04,4,129.5,7,7,13,32.375
NI-D-174,2020.04,2,124.0,6,4,14,62.0
WHV-TS-31,2020.04,4,110.5,15,11,6,27.625
LOS-M-36,2020.04,3,53.0,9,8,1,17.666666666666668
BS-VO-17,2020.04,5,173.0,13,10,16,34.6
PA-ZL-263,2020.04,6,215.0,13,24,15,35.833333333333336
LSA-DT-372,2020.04,5,149.5,24,11,9,29.9
BAR-E-4,2020.04,5,114.5,10,11,8,22.9
BRA-WE-53,2020.04,5,161.5,9,5,18,32.3
IN-B-594,2020.04,3,109.0,9,8,9,36.333333333333336
LD-CL-4527,2020.04,7,237.5,12,21,20,33.92857142857143
J-Z-51,2020.04,6,165.0,23,10,12,27.5
EA-Y-926,2020.04,4,106.5,6,11,8,26.625
LOS-OI-716,2020.04,5,168.5,9,9,17,33.7
MYK-M-28,2020.04,6,181.5,12,13,16,30.25
AW-T-573,2020.04,5,143.0,5,14,12,28.6
ABI-N-9,2020.04,7,182.5,23,11,14,26.071428571428573
AZ-YL-26,2020.04,9,316.0,25,22,27,35.111111111111114
M-O-292,2020.04,5,126.5,9,15,8,25.3
OF-D-629,2020.04,4,134.0,4,14,11,33.5
MB-L-971,2020.04,5,59.5,7,5,4,11.9
OAL-VK-36,2020.04,14,546.0,35,42,47,39.0
LD-CK-793,2020.04,3,107.0,8,8,9,35.666666666666664
UN-U-3962,2020.04,4,111.0,10,12,7,27.75
WOB-QE-952,2020.04,8,250.0,27,20,18,31.25
NWM-B-626,2020.04,4,145.0,6,10,14,36.25
WUG-RO-4,2020.04,9,297.5,21,29,22,33.05555555555556
WUG-BQ-649,2020.04,5,156.5,3,5,19,31.3
HOL-Q-84,2020.04,5,181.0,10,10,18,36.2
Z-OH-5,2020.04,8,242.0,16,20,20,30.25
H-G-22,2020.04,8,218.5,20,29,11,27.3125
SK-O-2,2020.04,8,291.0,16,26,24,36.375
MST-JJ-18,2020.04,9,130.0,30,6,7,14.444444444444445
SM-Z-57,2020.04,6,150.5,14,19,8,25.083333333333332
GT-H-11,2020.04,6,143.0,5,16,11,23.833333333333332
LWL-YE-8611,2020.04,4,65.5,10,5,4,16.375
OB-HL-978,2020.04,5,154.5,9,17,11,30.9
OA-J-12,2020.04,8,320.5,22,25,27,40.0625
NR-LN-2929,2020.04,3,79.5,10,3,7,26.5
WUG-NT-542,2020.04,6,244.0,24,18,19,40.666666666666664
STD-HK-6546,2020.04,5,163.0,15,4,17,32.6
LOS-L-92,2020.04,4,140.0,7,10,13,35.0
WÜ-G-25,2020.04,9,341.0,20,40,23,37.888888888888886
SHG-Y-117,2020.04,3,79.5,10,9,4,26.5
MIL-Y-63,2020.04,4,138.5,8,9,13,34.625
AÖ-ZM-15,2020.04,2,71.5,6,7,5,35.75
OA-YW-78,2020.04,7,198.0,15,16,16,28.285714285714285
HG-NS-13,2020.04,6,215.0,20,14,18,35.833333333333336
LÖ-H-4,2020.04,8,319.0,16,28,27,39.875
DEG-CP-3,2020.04,6,216.0,10,16,20,36.0
GAP-WB-57,2020.04,6,174.0,17,10,15,29.0
HB-XY-7244,2020.04,6,103.5,15,7,7,17.25
DH-X-716,2020.04,5,159.5,8,5,18,31.9
RV-B-431,2020.04,8,209.5,19,15,17,26.1875
GÖ-DQ-38,2020.04,5,89.0,6,8,7,17.8
HR-K-93,2020.04,1,17.5,0,3,1,17.5
SLK-O-32,2020.04,2,93.0,8,0,11,46.5
LIP-CU-242,2020.04,5,134.5,6,3,16,26.9
DD-T-4,2020.04,4,124.5,8,21,5,31.125
ES-F-78,2020.04,6,251.5,12,11,27,41.916666666666664
J-UD-436,2020.04,3,40.0,6,4,2,13.333333333333334
WTM-E-4671,2020.04,5,165.0,16,6,16,33.0
EB-A-675,2020.04,2,78.5,6,9,5,39.25
KIB-F-795,2020.04,6,168.5,9,17,13,28.083333333333332
KI-HP-645,2020.04,5,151.0,9,14,12,30.2
AN-N-555,2020.04,1,23.0,1,4,1,23.0
HRO-T-727,2020.04,3,20.0,3,2,1,6.666666666666667
LER-JZ-1955,2020.04,5,151.5,18,9,12,30.3
REG-SE-5415,2020.04,2,16.5,3,1,1,8.25
GS-H-63,2020.04,5,136.5,14,11,10,27.3
MOL-VD-8624,2020.04,3,100.5,10,3,10,33.5
MKK-VJ-986,2020.04,3,109.5,4,9,10,36.5
NW-MZ-535,2020.04,3,81.5,11,3,7,27.166666666666668
PAN-R-38,2020.04,9,276.0,19,16,26,30.666666666666668
SK-JL-4,2020.04,6,223.0,10,14,22,37.166666666666664
KU-MW-29,2020.04,7,222.0,13,24,16,31.714285714285715
SOK-B-14,2020.04,4,123.0,16,10,8,30.75
IZ-NY-652,2020.04,4,54.0,6,0,6,13.5
SOK-M-8914,2020.04,5,136.5,14,7,12,27.3
ME-UK-74,2020.04,5,185.5,7,17,16,37.1
EA-CK-47,2020.04,6,245.5,9,19,23,40.916666666666664
GÜ-M-3733,2020.04,7,216.0,17,14,19,30.857142857142858
LD-D-957,2020.04,3,51.5,10,1,4,17.166666666666668
GF-G-82,2020.04,4,141.5,13,17,8,35.375
LRO-F-564,2020.04,2,28.5,2,5,1,14.25
FR-X-57,2020.04,5,122.0,12,6,11,24.4
DH-WY-99,2020.04,7,191.0,29,18,10,27.285714285714285
OD-H-2521,2020.04,4,86.0,8,12,4,21.5
CE-X-322,2020.04,4,130.0,16,4,12,32.5
LDK-RP-86,2020.04,5,227.5,7,15,23,45.5
NU-N-3,2020.04,4,168.5,9,5,19,42.125
EI-AH-375,2020.04,4,135.5,10,15,9,33.875
SAD-J-174,2020.04,10,380.5,17,35,32,38.05
KYF-N-4,2020.04,4,95.5,11,9,6,23.875
H-HM-9,2020.04,2,42.5,2,7,2,21.25
MEI-RW-5,2020.04,8,236.5,15,19,20,29.5625
GZ-QU-8,2020.04,6,268.0,15,20,24,44.666666666666664
KN-E-737,2020.04,7,266.5,16,15,26,38.07142857142857
SOK-VS-534,2020.04,6,176.0,11,16,14,29.333333333333332
RO-Q-363,2020.04,8,326.0,30,28,24,40.75
BP-O-42,2020.04,6,171.5,7,17,14,28.583333333333332
PF-T-3,2020.04,3,67.0,9,8,3,22.333333333333332
LSN-P-554,2020.04,4,143.5,7,11,13,35.875
SLF-T-9697,2020.04,6,257.5,22,15,23,42.916666666666664
AW-S-6395,2020.04,3,89.5,8,7,7,29.833333333333332
SO-M-79,2020.04,9,251.5,12,23,21,27.944444444444443
MA-I-87,2020.04,6,133.0,14,16,7,22.166666666666668
HSK-L-873,2020.04,8,227.5,14,21,18,28.4375
MÜR-H-8,2020.04,6,189.0,21,4,19,31.5
BD-Z-2645,2020.04,7,309.0,18,18,30,44.142857142857146
GI-XZ-2771,2020.04,6,159.5,15,17,10,26.583333333333332
TBB-P-32,2020.04,5,139.5,19,15,7,27.9
LAU-KU-242,2020.04,7,211.0,25,18,14,30.142857142857142
HER-A-94,2020.04,4,123.5,11,19,5,30.875
BTF-BY-689,2020.04,3,131.5,8,7,13,43.833333333333336
KÜN-RF-364,2020.04,4,93.0,8,8,7,23.25
EMS-L-9414,2020.04,3,56.0,7,8,2,18.666666666666668
STA-YH-12,2020.04,7,272.0,24,20,22,38.857142857142854
SZ-Q-59,2020.04,7,225.0,11,14,22,32.142857142857146
VK-DL-57,2020.04,3,103.0,6,8,9,34.333333333333336
MS-UO-438,2020.04,6,107.5,17,7,7,17.916666666666668
PIR-B-19,2020.04,4,54.0,6,2,5,13.5
LDS-I-15,2020.04,6,236.5,15,15,22,39.416666666666664
LIF-K-87,2020.04,6,206.5,28,19,12,34.416666666666664
LM-SX-381,2020.04,6,188.0,10,16,16,31.333333333333332
KS-NO-59,2020.04,5,68.0,13,8,2,13.6
RV-AQ-65,2020.04,2,21.5,2,1,2,10.75
MN-I-289,2020.04,4,107.5,17,11,5,26.875
KUS-YD-35,2020.04,9,256.0,30,14,21,28.444444444444443
WOB-G-37,2020.04,7,131.5,22,17,4,18.785714285714285
HF-S-31,2020.04,5,178.0,12,6,19,35.6
HRO-G-2464,2020.04,4,138.5,8,7,14,34.625
KF-NG-13,2020.04,8,212.0,15,10,21,26.5
HBN-NT-57,2020.04,4,94.0,5,12,6,23.5
HOM-BA-245,2020.04,4,139.0,17,16,7,34.75
FFB-H-545,2020.04,4,125.0,10,8,11,31.25
EI-DO-52,2020.04,6,218.5,13,17,19,36.416666666666664
WHV-T-22,2020.04,4,112.5,9,9,9,28.125
MM-HJ-55,2020.04,4,141.0,11,16,9,35.25
WEN-OB-7951,2020.04,4,83.0,10,12,3,20.75
HGW-WZ-624,2020.04,9,222.0,13,28,14,24.666666666666668
KUS-IE-12,2020.04,6,217.5,23,25,12,36.25
GI-QX-227,2020.04,3,58.0,1,4,6,19.333333333333332
AK-PQ-89,2020.04,6,177.0,8,14,16,29.5
GE-CZ-374,2020.04,3,43.5,6,5,2,14.5
KE-UP-71,2020.04,8,262.0,19,26,19,32.75
VER-LH-817,2020.04,9,359.0,22,32,29,39.888888888888886
MD-FU-28,2020.04,2,44.5,3,5,3,22.25
KF-G-9,2020.04,2,77.5,2,1,10,38.75
WE-H-269,2020.04,5,118.5,19,3,10,23.7
SAW-Y-449,2020.04,5,173.0,13,10,16,34.6
TS-A-25,2020.04,3,146.0,10,8,14,48.666666666666664
THW-Z-13,2020.04,3,77.5,2,5,8,25.833333333333332
G-W-59,2020.04,4,48.0,10,4,2,12.0
EIC-OX-514,2020.04,6,221.0,16,22,16,36.833333333333336
NR-S-932,2020.04,7,197.5,13,19,15,28.214285714285715
WIL-N-945,2020.04,3,82.5,8,9,5,27.5
THL-Q-83,2020.04,6,261.5,17,15,25,43.583333333333336
NWM-TI-235,2020.04,3,131.0,6,20,7,43.666666666666664
FL-S-62,2020.04,6,154.5,16,9,13,25.75
SHA-TG-92,2020.04,9,263.5,25,13,24,29.27777777777778
FRG-JI-74,2020.04,7,210.5,23,23,12,30.071428571428573
MA-AA-3645,2020.04,7,176.5,6,27,10,25.214285714285715
MK-A-39,2020.04,5,169.5,13,9,16,33.9
AZ-DH-64,2020.04,8,198.0,29,20,10,24.75
BWL-MV-2,2020.04,3,85.0,11,6,6,28.333333333333332
HF-L-52,2020.04,3,99.5,6,3,11,33.166666666666664
W-BG-118,2020.04,7,241.5,21,17,20,34.5
C-PQ-668,2020.04,5,107.0,22,4,7,21.4
WÜ-JN-76,2020.04,6,215.0,6,12,23,35.833333333333336
MSP-RR-3899,2020.04,4,54.5,15,3,2,13.625
SPN-KF-8545,2020.04,3,62.0,3,12,2,20.666666666666668
K-K-569,2020.04,8,338.5,24,31,26,42.3125
PM-O-59,2020.04,5,115.5,7,9,10,23.1
WOB-RZ-79,2020.04,5,125.0,10,20,5,25.0
WHV-B-96,2020.04,5,83.0,10,4,7,16.6
GRZ-X-942,2020.04,3,55.5,5,3,5,18.5
J-RW-6,2020.04,4,87.0,5,16,3,21.75
HVL-A-891,2020.04,6,277.0,23,16,25,46.166666666666664
AN-JI-788,2020.04,5,174.5,19,13,13,34.9
VK-ZT-15,2020.04,4,133.5,9,13,10,33.375
HO-CO-999,2020.04,6,147.5,23,11,9,24.583333333333332
HER-T-32,2020.04,4,156.0,8,14,13,39.0
VS-WI-4321,2020.04,5,125.0,10,12,9,25.0
NW-S-36,2020.04,2,67.0,2,8,5,33.5
A-R-195,2020.04,3,97.0,3,18,4,32.333333333333336
RÜG-UX-14,2020.04,4,95.0,9,8,7,23.75
GR-VF-571,2020.04,4,152.0,6,12,14,38.0
TÖL-J-243,2020.04,6,210.5,9,3,26,35.083333333333336
GS-R-5,2020.04,4,174.5,12,15,14,43.625
KO-NH-841,2020.04,9,357.5,44,27,25,39.72222222222222
OHV-NV-458,2020.04,8,293.5,19,25,24,36.6875
WÜ-Y-1339,2020.04,6,149.5,17,11,11,24.916666666666668
BZ-J-5472,2020.04,6,123.5,11,13,8,20.583333333333332
HDH-SY-2353,2020.04,4,240.0,15,18,21,60.0
SC-KR-234,2020.04,5,128.0,15,14,7,25.6
OHZ-FH-29,2020.04,1,27.0,3,2,2,27.0
LSA-IH-9,2020.04,6,126.5,16,11,8,21.083333333333332
NR-T-9115,2020.04,5,111.0,10,12,7,22.2
SHA-SB-8,2020.04,9,203.5,16,13,18,22.61111111111111
DD-M-2367,2020.04,6,202.0,17,18,15,33.666666666666664
CB-V-324,2020.04,7,178.5,21,3,18,25.5
WF-O-94,2020.04,6,166.5,8,7,18,27.75
SR-GU-712,2020.04,3,60.0,2,8,4,20.0
WE-GT-682,2020.04,5,134.5,6,7,14,26.9
LDS-A-26,2020.04,4,165.5,11,17,12,41.375
GF-CX-913,2020.04,6,144.0,9,12,12,24.0
TDO-ZD-529,2020.04,5,175.0,14,6,18,35.0
TDO-O-72,2020.04,6,205.5,24,13,16,34.25
SM-K-177,2020.04,3,88.0,9,2,9,29.333333333333332
TDO-EE-7943,2020.04,1,14.5,2,1,1,14.5
SLS-O-59,2020.04,7,176.5,20,13,13,25.214285714285715
FN-WB-584,2020.04,6,222.0,13,22,17,37.0
SAD-X-4,2020.04,8,228.0,23,14,19,28.5
MVL-ZW-92,2020.04,7,240.0,15,16,22,34.285714285714285
WAK-T-61,2020.04,4,155.5,13,13,12,38.875
WN-G-454,2020.04,5,163.0,8,8,17,32.6
FDS-VW-65,2020.04,6,162.0,18,8,14,27.0
KL-ON-8,2020.04,5,142.0,15,14,9,28.4
RE-HF-341,2020.04,6,173.5,15,13,14,28.916666666666668
CB-S-38,2020.04,6,124.0,20,10,7,20.666666666666668
HWI-F-91,2020.04,5,166.5,15,9,15,33.3
LEV-J-62,2020.04,3,87.5,7,15,3,29.166666666666668
KEH-A-99,2020.04,5,86.0,15,6,5,17.2
MR-PW-5475,2020.04,4,111.5,5,17,6,27.875
MST-F-51,2020.04,5,184.5,17,19,12,36.9
EM-RY-41,2020.04,6,170.5,10,11,16,28.416666666666668
AB-JT-79,2020.04,3,39.5,4,1,4,13.166666666666666
MTK-YV-854,2020.04,5,128.0,8,4,14,25.6
ST-V-683,2020.04,2,43.0,4,4,3,21.5
NMS-RL-52,2020.04,8,247.5,38,19,15,30.9375
MZ-SC-1833,2020.04,5,99.5,6,5,10,19.9
FT-KC-243,2020.04,2,30.5,3,5,1,15.25
A-H-859,2020.04,9,205.0,22,12,17,22.77777777777778
OHA-C-92,2020.04,3,90.5,5,9,7,30.166666666666668
AP-A-858,2020.04,7,174.5,26,23,6,24.928571428571427
DL-FP-543,2020.04,4,160.5,19,9,13,40.125
WIL-C-44,2020.04,5,150.5,14,11,12,30.1
FRI-V-116,2020.04,3,79.5,3,13,4,26.5
HWI-KK-52,2020.04,5,158.0,9,10,15,31.6
WW-WN-2,2020.04,5,158.0,9,14,13,31.6
LIF-EO-521,2020.04,5,146.0,10,14,11,29.2
AN-LV-689,2020.04,2,44.5,3,11,0,22.25
NE-U-69,2020.04,4,101.5,7,9,8,25.375
RÜG-K-633,2020.04,3,115.0,5,8,11,38.333333333333336
L-X-3527,2020.04,4,62.5,12,7,2,15.625
HI-LK-5831,2020.04,8,136.5,14,13,9,17.0625
AA-Y-71,2020.04,4,72.5,10,5,5,18.125
G-W-9626,2020.04,6,163.0,15,10,14,27.166666666666668
RPL-EJ-464,2020.04,5,130.0,2,18,9,26.0
RA-KF-6934,2020.04,6,142.0,8,10,13,23.666666666666668
COC-Z-7,2020.04,6,192.5,21,11,16,32.083333333333336
HF-G-1813,2020.04,4,164.0,19,10,13,41.0
TR-KG-5442,2020.04,1,22.5,6,1,1,22.5
FF-B-49,2020.04,5,158.0,16,16,10,31.6
EU-D-4,2020.04,5,246.5,13,13,25,49.3
UN-V-24,2020.04,4,126.0,7,8,12,31.5
IN-JW-26,2020.04,7,170.0,15,8,16,24.285714285714285
WTM-NF-794,2020.04,5,171.5,14,19,11,34.3
LOS-PO-8114,2020.04,4,121.5,3,13,10,30.375
PS-YX-11,2020.04,6,184.0,8,16,16,30.666666666666668
TG-JM-7,2020.04,3,45.0,5,6,2,15.0
GER-JT-17,2020.04,4,107.5,10,9,8,26.875
EE-AM-913,2020.04,8,232.5,20,17,19,29.0625
EB-QV-351,2020.04,4,136.5,14,15,8,34.125
VIE-B-725,2020.04,5,194.0,13,14,17,38.8
MZG-MD-6,2020.04,1,25.0,2,4,1,25.0
NMS-D-76,2020.04,2,115.0,5,10,10,57.5
OH-Q-6,2020.04,6,151.5,11,15,11,25.25
WF-BF-166,2020.04,6,188.5,5,17,17,31.416666666666668
HGW-M-456,2020.04,3,98.5,16,3,8,32.833333333333336
VK-K-32,2020.04,3,64.5,6,11,2,21.5
AC-E-881,2020.04,8,232.5,13,27,16,29.0625
LOS-N-6,2020.04,5,67.0,9,8,3,13.4
EMD-HX-24,2020.04,4,92.0,11,4,8,23.0
SOK-X-75,2020.04,3,81.5,4,13,4,27.166666666666668
HEF-J-696,2020.04,4,208.0,6,18,19,52.0
PLÖ-OJ-4,2020.04,5,133.0,14,12,9,26.6
ESW-VO-277,2020.04,4,126.5,9,11,10,31.625
DBR-J-771,2020.04,7,189.0,14,26,10,27.0
WUN-RE-488,2020.04,6,190.0,18,18,13,31.666666666666668
TÜ-UK-11,2020.04,7,257.5,22,13,24,36.785714285714285
ZW-X-61,2020.04,6,156.0,15,18,9,26.0
WAF-V-2673,2020.04,6,178.0,26,20,8,29.666666666666668
MM-XG-2,2020.04,2,62.5,5,7,4,31.25
DH-G-8,2020.04,3,61.0,13,2,4,20.333333333333332
GE-GA-18,2020.04,3,74.5,11,11,2,24.833333333333332
HX-A-86,2020.04,4,162.0,11,22,9,40.5
THL-PB-93,2020.04,7,206.5,21,19,14,29.5
ROS-TE-56,2020.04,2,62.0,10,2,5,31.0
WUN-T-63,2020.04,6,259.0,14,14,26,43.166666666666664
SAW-B-78,2020.04,7,184.5,17,15,14,26.357142857142858
WUN-YQ-715,2020.04,6,124.0,13,18,5,20.666666666666668
LM-QT-719,2020.04,3,55.0,3,6,4,18.333333333333332
BT-O-952,2020.04,3,160.0,17,12,12,53.333333333333336
KU-B-49,2020.04,3,89.0,6,4,9,29.666666666666668
EBE-B-57,2020.04,4,132.0,10,10,11,33.0
AM-I-7,2020.04,5,152.5,8,11,14,30.5
GP-K-557,2020.04,11,247.5,10,27,19,22.5
FRG-E-4952,2020.04,5,116.0,16,4,10,23.2
LSN-N-9759,2020.04,6,189.5,16,19,13,31.583333333333332
DAN-DN-41,2020.04,3,106.5,6,13,7,35.5
RV-K-225,2020.04,2,59.5,7,3,5,29.75
RÜG-YG-27,2020.04,6,221.0,2,16,23,36.833333333333336
SI-A-923,2020.04,7,288.5,20,23,24,41.214285714285715
WF-WW-2,2020.04,9,319.0,16,28,27,35.44444444444444
FF-D-62,2020.04,2,76.5,5,5,7,38.25
SK-YB-268,2020.04,8,218.0,11,24,16,27.25
RE-XJ-39,2020.04,4,175.0,21,12,13,43.75
GZ-I-4591,2020.04,4,87.5,14,9,4,21.875
SAD-TZ-61,2020.04,6,145.0,13,12,11,24.166666666666668
FS-V-665,2020.04,7,173.5,15,15,13,24.785714285714285
MVL-ZM-31,2020.04,3,72.0,1,8,6,24.0
SLK-WA-97,2020.04,5,147.0,14,18,8,29.4
RO-N-61,2020.04,6,181.5,12,19,13,30.25
TUT-W-33,2020.04,3,75.0,6,6,6,25.0
IZ-M-331,2020.04,7,226.5,17,19,18,32.357142857142854
EL-S-183,2020.04,5,186.0,9,14,17,37.2
NDH-B-8678,2020.04,5,170.0,15,10,15,34.0
SO-XK-811,2020.04,6,232.0,18,10,23,38.666666666666664
DLG-AY-5813,2020.04,3,144.5,11,5,15,48.166666666666664
KG-OF-875,2020.04,2,103.0,13,8,7,51.5
FL-CP-22,2020.04,3,126.0,7,12,10,42.0
COC-F-49,2020.04,4,124.5,8,3,14,31.125
BRB-FQ-23,2020.04,8,220.5,14,21,17,27.5625
KA-J-384,2020.04,2,40.5,1,5,3,20.25
KU-W-266,2020.04,7,202.5,12,23,14,28.928571428571427
DEL-DU-639,2020.04,3,116.5,4,9,11,38.833333333333336
RS-K-423,2020.04,3,93.0,1,10,8,31.0
G-O-397,2020.04,5,69.5,5,11,3,13.9
WM-RI-753,2020.04,7,277.5,25,15,25,39.642857142857146
MST-ZK-6,2020.04,5,142.0,15,10,11,28.4
M-Y-1293,2020.04,4,81.5,11,3,7,20.375
IK-V-18,2020.04,5,210.0,14,12,20,42.0
MOL-HA-69,2020.04,8,182.0,21,12,14,22.75
RÜG-HL-828,2020.04,6,260.5,13,19,24,43.416666666666664
FG-KL-158,2020.04,1,47.5,1,5,4,47.5
FR-N-87,2020.04,4,138.5,8,13,11,34.625
VS-LV-958,2020.04,3,50.5,13,3,2,16.833333333333332
CO-O-5,2020.04,4,106.0,11,10,7,26.5
MEI-X-1438,2020.04,2,109.0,9,8,9,54.5
V-D-29,2020.04,3,115.5,7,3,13,38.5
BGL-T-48,2020.04,9,265.0,10,22,24,29.444444444444443
TÜ-ZB-288,2020.04,2,25.0,2,2,2,12.5
ES-E-14,2020.04,3,94.0,5,8,8,31.333333333333332
ES-P-63,2020.04,2,49.0,7,2,4,24.5
BP-PV-56,2020.04,6,127.5,13,9,10,21.25
VR-J-94,2020.04,3,96.0,13,2,9,32.0
EB-X-28,2020.04,4,175.0,7,24,11,43.75
HRO-VJ-86,2020.04,4,215.5,8,19,19,53.875
HX-T-776,2020.04,5,94.0,12,6,7,18.8
FB-IP-9853,2020.04,5,175.0,14,10,16,35.0
H-S-495,2020.04,7,179.5,18,9,16,25.642857142857142
BWL-H-12,2020.04,4,116.0,9,14,7,29.0
MKK-CL-93,2020.04,8,232.5,20,9,23,29.0625
SE-FT-67,2020.04,4,116.0,2,8,12,29.0
LSN-H-11,2020.04,3,123.0,9,12,9,41.0
FD-QX-71,2020.04,5,186.0,9,24,12,37.2
OE-P-645,2020.04,5,122.5,7,15,8,24.5
BN-PG-22,2020.04,4,173.0,20,14,12,43.25
B-T-39,2020.04,6,165.0,16,18,10,27.5
BAR-F-5,2020.04,5,187.0,6,18,16,37.4
TÜ-YR-2557,2020.04,3,80.5,7,9,5,26.833333333333332
AZ-HX-92,2020.04,4,136.0,19,12,8,34.0
NB-Y-691,2020.04,3,73.0,5,12,3,24.333333333333332
ER-V-631,2020.04,3,86.5,10,3,8,28.833333333333332
S-K-1752,2020.04,1,40.5,1,5,3,40.5
GER-X-49,2020.04,2,59.0,12,4,3,29.5
WAF-AR-4759,2020.04,6,119.5,9,13,8,19.916666666666668
HP-U-143,2020.04,5,80.0,12,6,5,16.0
ESW-WD-927,2020.04,3,102.5,11,1,11,34.166666666666664
TS-L-37,2020.04,3,115.0,12,8,9,38.333333333333336
SLF-G-6848,2020.04,4,44.5,3,7,2,11.125
NVP-PG-374,2020.04,5,164.0,12,14,13,32.8
IGB-O-746,2020.04,4,68.0,13,8,2,17.0
CW-BE-877,2020.04,3,95.5,11,11,5,31.833333333333332
GM-K-7,2020.04,7,207.5,18,17,16,29.642857142857142
UL-F-181,2020.04,5,169.5,13,9,16,33.9
KI-QM-188,2020.04,6,160.5,12,11,14,26.75
HER-WJ-231,2020.04,4,142.0,8,12,12,35.5
OF-OY-5221,2020.04,4,165.0,9,18,12,41.25
MVL-U-16,2020.04,8,268.5,17,13,27,33.5625
NOM-WG-8254,2020.04,5,240.5,10,21,21,48.1
HH-T-324,2020.04,3,147.5,9,11,13,49.166666666666664
HR-P-42,2020.04,2,80.5,0,7,8,40.25
NU-PM-2,2020.04,2,111.0,3,10,10,55.5
PAF-Y-6449,2020.04,4,61.0,6,10,2,15.25
S-V-2475,2020.04,3,125.5,5,9,12,41.833333333333336
LD-GQ-37,2020.04,7,245.0,21,16,21,35.0
HSK-V-3,2020.04,5,221.0,16,24,15,44.2
GTH-X-3,2020.04,3,104.5,5,7,10,34.833333333333336
KC-EG-737,2020.04,2,66.0,5,8,4,33.0
HDH-GJ-64,2020.04,5,258.0,10,20,24,51.6
RO-YT-78,2020.04,5,198.5,17,21,13,39.7
LDK-P-4571,2020.04,4,163.0,8,12,15,40.75
GTH-VJ-64,2020.04,8,240.0,15,12,24,30.0
GRZ-F-893,2020.04,5,191.0,15,18,14,38.2
SLK-KB-936,2020.04,7,149.0,15,20,7,21.285714285714285
GAP-MQ-6,2020.04,7,174.0,17,18,11,24.857142857142858
BOR-Y-81,2020.04,4,126.5,9,13,9,31.625
LER-M-68,2020.04,3,79.0,1,6,8,26.333333333333332
SW-EN-465,2020.04,6,99.0,11,10,6,16.5
LU-W-912,2020.04,6,192.0,12,16,16,32.0
WIL-A-2679,2020.04,3,108.0,5,12,8,36.0
TF-UD-3934,2020.04,3,41.0,3,4,3,13.666666666666666
AW-PX-62,2020.04,4,146.5,5,11,14,36.625
WAF-P-167,2020.04,6,193.5,18,13,16,32.25
RE-TB-845,2020.04,2,93.5,3,11,7,46.75
WF-W-6,2020.04,6,217.5,16,15,19,36.25
L-AA-648,2020.04,3,67.5,4,7,5,22.5
WHV-U-981,2020.04,4,126.5,16,15,6,31.625
BT-HF-31,2020.04,2,89.5,8,11,5,44.75
OA-AL-89,2020.04,5,101.0,12,18,2,20.2
HOL-A-92,2020.04,3,93.5,10,5,8,31.166666666666668
MTK-O-27,2020.04,7,269.5,14,19,25,38.5
MG-F-492,2020.04,5,175.0,21,14,12,35.0
TBB-Q-3,2020.04,3,124.0,20,10,7,41.333333333333336
NF-H-1344,2020.04,2,73.0,5,8,5,36.5
GP-FS-77,2020.04,3,107.0,8,6,10,35.666666666666664
HR-G-91,2020.04,3,123.0,9,10,10,41.0
SAD-K-6912,2020.04,4,185.0,5,16,17,46.25
